amenity,healthcare:speciality,alt_name,operator,addr:housenumber,addr:postcode:source,is_in:country,building:levels,opening_hours,is_in:city,lon,name,note,source,is_in:county,website,description,emergency,opening_days,is_in:country_code,phone,lat,name:hu,addr:street,building,addr:city,level,addr:postcode,addr:place,healthcare,addr:country
doctors,,,,5,,,,,,24.1576515,Cabinet Individual de Psihologie Orlandea Laura,,,,,,,,,0740 054 004,45.7855264,,Strada Mirăslău,yes,Sibiu,,,,,
doctors,,,,,,,,,,26.6982074,Cabinet Medical,,,,,,,,,,45.2148010,,,yes,,,,,,
doctors,,,,46,,,,,,27.6461962,Cabinet Medical Dr. Avgherino Silvia,,,,,,,,,,45.1370176,,Strada Principală,yes,Urleasca,,,,doctor,
doctors,,,,18B,"Date de la Poșta Română, publicate sub Licența pentru Guvernare Deschisă v1.0 la http://date.gov.ro/organization/posta-romana",,,,,21.2677032,Cabinet Medical Dr. Stancu Dorina,,,,,,,,,,45.7264556,,Strada Martir Constantin Radu,yes,Timișoara,,300702,,,
doctors,,,,84,"Date de la Poșta Română, publicate sub Licența pentru Guvernare Deschisă v1.0 la http://date.gov.ro/organization/posta-romana",,,,,21.2708417,Cabinet Medical Dr. Stoian,,,,,,,,,,45.7284488,,Calea Buziașului,yes,Timișoara,,300700,,,
doctors,neurology,,,7,,,,,,24.1390502,Cabinet Medical Neurologie Doctor Pereanu Marcel,,,,http://www.pereanu.ro/neurologie-sibiu/cabinet.php,,,,,+40 269 215050,45.8008397,,Strada Patrioților,house,Sibiu,,,,doctor,
doctors,,,,,,,,,,23.4166058,Cabinet Medical Sânpaul (1966),,,,,,,,,,46.8752476,,,yes,,,,,,
doctors,,,,,,,,,,24.6090215,Cabinet individual dr. Oae Dora Ioana,,,,,,,,,,45.3305226,,,yes,,,,,,
doctors,,,,60,,,,,,22.3702231,Cabinet medical,,Bing,,,,,,,,47.4625885,Háziorvosi rendelő,,yes,,,,,doctor,
doctors,,,,,,,,09:30-12:30,,24.9689772,Cabinet medical - dermato-venerologie,,,,,Prof. dr. Oanță Alexandru,,sâmbătă,,+40268333825,45.8479038,,,yes,,,,,doctor,
doctors,,,,38,"Date de la Poșta Română, publicate sub Licența pentru Guvernare Deschisă v1.0 la http://date.gov.ro/organization/posta-romana",,,"L, Mi, V: 08:00 - 13:00; Ma, J: 12:00 - 17:00",,21.2277498,Cabinet medical medicină generală dr. David Maria,,,,,,,,,,45.7233641,,Strada Aluniș,yes,Timișoara,,300778,,,
doctors,,,,,,,,,,28.4153475,Cabinete Medicale,,,,,,,,,,44.1754483,,,yes,,,,,,
doctors,,,,,,,,,,27.6157733,Cabinete medicale individuale,,,,,,,,,,47.1614104,,,yes,,,,,,
doctors,,,,,,,,,,27.5714699,Centrul Medical Cardiomed,,,,,,,,,,47.1359392,,,yes,,,,,,
doctors,,,,,,,,,Iași,27.6117546,Centrul de plasament Iași,,,,,,,,,,47.1600780,,,,,,,,,
doctors,,,,12,,,,,,24.1819892,Centul Medical Sanovil,,,,,,,,,,47.1814964,,Strada 1 Decembrie 1918,yes,,,,,,
doctors,,,,,,,,,,27.6025583,Clinica Pedilife & Sanoptic,,,,,,,,,,47.1591447,,,yes,,,,,,
doctors,,,,,,,,,,22.9111083,Clinică,,,,,,,,,,45.8748211,,,yes,,,,,,
doctors,,,,,,,,,,22.8995401,Complex Hidroterapeutic Baia Sărată,,,,,,,,,,45.8927698,,,yes,,,,,,
doctors,,,,,,,,,,24.7454782,Dispensar,,,,,,,,,,44.9700729,,,yes,,,,,,
doctors,,,,,,,,,,24.2319808,Dispensar,,"Bing, survey",,,,,,,,46.4512542,,,yes,Iernut,,,,,
doctors,,,,,,,,,,26.1583385,Dispensar,,,,,,,,,,44.4417337,,,yes,,,,,,
doctors,,,,,,,,,,24.6095627,Dispensar,,,,,,,,,,46.6530876,,,yes,,,,,,
doctors,,,,555,,,,,,23.7417570,Dispensar,,,,,,,,,,46.5408158,,,public,Mihai Viteazu,,,Mihai Viteazu,,
doctors,,,,,,,,,,25.5961027,Dispensar,,,,,,,,,,44.1007702,,,yes,,,,,,
doctors,,,,,,,,,,26.1294711,Dispensar,,survey,,,,,,,,44.4604327,,,yes,,,,,,
doctors,,,,,,,,,,23.6786568,Dispensar,,,,,,,,,,46.7179007,Orvosi rendelő,,yes,,,,,,
doctors,,,,,,,,,,26.6655179,Dispensar,,,,,,,,,,44.7050519,,,yes,,1,,,,
doctors,,,,,,,,,,23.8105293,Dispensar Iclod,,,,,,,,,,46.9847161,,,yes,,,,,,
doctors,,,,,,,,,,24.0742223,Dispensar Loamneș,,,,,,,,,,45.9323116,,,yes,,,,,doctor,
doctors,,,,,,,,,,29.2478511,Dispensar Mila 23,,,,,,,,,,45.2290043,,,yes,Mila 23,,827062,,,RO
doctors,,,,,,,,,,24.3175237,Dispensar Muereasca,,,,,,,,,,45.1869500,,,yes,,,,,,
doctors,,,,,,,,,,22.0776293,Dispensar Ohaba-Mâtnic,,,,,,,,,,45.4702840,,,yes,,,,,,
doctors,,,,,,,,,,23.4120394,Dispensar Sânpaul (1963),,,,,,,,,,46.8699342,,,yes,,,,,,
doctors,,,,,,,,,,27.9779736,Dispensar TBC,,,,,,,,,,45.2726398,,,yes,,,,,,
doctors,,,,,,,,,,23.9330714,Dispensar clinic uman,,,,,,,,,,46.4050244,,,yes,Noșlac,,,,,
doctors,,,,,,,,,,24.1718657,Dispensar medical,,,,,,,,,,46.2466545,,,yes,,,,,doctor,
doctors,,,,,,,,,,23.6202858,Dispensar medical Galda de Jos,,,,,,,,,,46.1787346,,,yes,,,,,,
doctors,,,,,,,,,,23.5178890,Dispensar medical Ighiu,,,,,,,,,,46.1445594,,,yes,,,,,doctor,
doctors,,,,,,,,,,24.5980397,Dispensarul Chirpăr,,,,,,,,,,45.8932060,,,house,,,,,,
doctors,,,,,,,,,,26.1195727,Dispensarul Medical Ardeleni,,,,,,,,,,44.4455956,,,yes,,,,,,
doctors,,,,,,,,,,23.1314427,Dispensarul Medical Roșia Montană,,,,,,,,,,46.3056743,,,yes,Roșia Montană,,,,doctor,
doctors,,,,,,,,,,24.2593701,Dispnesar,,,,,,,,,,45.6339179,,,yes,,,,,,
doctors,,,,1,,Romania,,,Sibiu,24.1376995,Dr. Popescu Alexandru,,,Sibiu,,,,,RO,+40 269 232 540,45.7738620,,Strada Ciprian Porumbescu,yes,Sibiu,,550401,,,RO
doctors,,,,,,,,,,25.5996993,Hipocrat,,Bing,,,,,,,,45.6527310,,,yes,,,,,,
doctors,,,,136C,,,,,,28.0283938,Medicotest,,,,,,,,,,45.4289714,,Bulevardul Brăilei,yes,Galați,,,,,
doctors,,,,6,,,,,,25.6073344,Medlife,,,,,,,,,,45.6569490,,Strada Moldovei,yes,Brașov,,500205,,,
doctors,,,,,,,,,,26.3359343,Mocanu,,,,,,,,,,47.3498869,,,yes,,,,,doctor,
doctors,,,,35,,,,,,26.3594448,Policlinica,,,,,,,,,,47.2069876,,,yes,Târgu Neamț,,,,,RO
doctors,,,,,,,,,,27.5802140,Policlinica Cantemir,,,,,,,,,,47.1497477,,,yes,,,,,doctor,
doctors,,,,,,,,,,26.0219328,Policlinica Cetatea Histria,,,,,,,,,,44.4203061,,Strada Cetatea Histria,yes,București,,062079,,doctor,
doctors,,,,,,,,,,27.9776231,Policlinica DIACONIA,,,,,,,,,,45.2724515,,,yes,,,,,,
doctors,,,,5,,,,,,27.5707688,Policlinica cu Plată,,,,,,,,,,47.1786442,,Strada Teodor Codrescu,yes,,,700479,,doctor,
doctors,,,,2,"Date de la Poșta Română, publicate sub Licența pentru Guvernare Deschisă v1.0 la http://date.gov.ro/organization/posta-romana",,,,,21.3219108,Policlinica cu Plată,,,,,,,,,,46.1671193,,Strada Paris,yes,Arad,,310117,,,
doctors,,,,7,,,,,,25.2853682,Polimed Center,,,,https://samed.ro/,,,,,,46.3159806,,Strada Bisericii,yes,Odorheiu Secuiesc,,535600,,,
doctors,,SMURD,S.M.U.R.D.,,,,,,,24.2322992,S.M.U.R.D.,,"Bing, survey",,,,ambulance_station,,,,46.4509385,,,yes,Iernut,,,,,
doctors,,,,,,,,,,23.3120226,Salvamont,Mountain & Cave Rescue,,,,,Mountain & Cave Rescue,,,,46.5369908,,,yes,,,,,,
doctors,,,,,,,,,,22.7044829,Salvamont Glăvoi,Mountain & Cave Rescue,,,,,Mountain & Cave Rescue,,,,46.5777705,,,yes,,,,,,
doctors,,,,,,,,,,24.3624700,Serviciul de plasament de tip familial,,,,,,,,,,45.1209204,,,yes,,,,,,
doctors,,,,,,,,,,23.8412696,"salvamar, medic",,,,,,,,,,46.7477349,,,yes,,,,,,
